Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Calmer school mornings for kids,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/01-01-calmer-school-mornings.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Visual supports to make tough school mornings easier. Use on a phone, tablet, iPad or print only the pages you need.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-23T13:00:00,"school morning visual schedule, school routine printable, calm parenting"
No printer required calm school morning kit,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/02-02-no-printer-required.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Keep this calm school morning kit on your phone, tablet or iPad for quick support before school. Print only if it helps your family.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-23T20:00:00,"no printer required printable, school morning support, autism routine"
When school mornings feel hard,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/03-03-hard-mornings.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"A calm printable kit with visual supports, comfort ideas and simple communication tools for hard mornings.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-24T13:00:00,"hard mornings, visual supports for kids, school transitions"
Help kids show what they need in the morning,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/04-04-show-what-they-need.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Support communication, comfort and calmer school routines with an easy printable calm kit.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-24T20:00:00,"communication board kids, school morning routine, printable for autism"
My Calm School Morning Kit,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/05-calmer_school_mornings_kit.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Small steps for a calmer morning. Use on a phone, tablet or iPad, or print at home.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-25T13:00:00,"school morning kit, routine printable, calm kids"
Gentler school drop-off support,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/06-gentler_school_drop_off_kit.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Help school drop-off feel calmer with a visual plan kids can use on a phone, tablet, iPad or in print.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-25T20:00:00,"school drop off, separation anxiety support, back to school printable"
A calmer first day of school,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/07-calm_first_day_school_kit.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Prepare for the first day with visual supports, simple scripts and calm routines for kids.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-26T13:00:00,"first day of school social story alternative, school prep printable, calm kids"
Make school bus rides easier,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/08-make_bus_rides_easier.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"A calm school bus ride kit with visual steps, comfort supports and communication tools.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-26T20:00:00,"school bus anxiety, bus routine printable, visual schedule kids"
Calmer grocery trips with kids,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/09-calmer_grocery_trips_kit.jpg,REPLACE_WITH_EXISTING_GENERAL_BOARD,,An easy calm kit for grocery store trips with visual supports you can use anywhere.,REPLACE_WITH_LIVE_ETSY_URL,2026-08-27T13:00:00,"grocery store printable, errands with kids, autism outing support"
Leaving the house without as much stress,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/10-calm_transitions_leaving_home_kit.jpg,REPLACE_WITH_EXISTING_GENERAL_BOARD,,A calm visual support kit for getting out the door with less friction.,REPLACE_WITH_LIVE_ETSY_URL,2026-08-27T20:00:00,"leaving the house routine, transition printable, autism support"
A calmer bedtime routine for kids,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/11-calmer_bedtime_kit_poster.jpg,REPLACE_WITH_EXISTING_GENERAL_BOARD,,Gentle visual supports to help bedtime feel more predictable and less stressful.,REPLACE_WITH_LIVE_ETSY_URL,2026-08-28T13:00:00,"bedtime routine printable, calm bedtime, visual schedule kids"
Make tooth brushing easier,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/12-make_brushing_easier_calm_toothbrushing_kit.jpg,REPLACE_WITH_EXISTING_GENERAL_BOARD,,"A calm tooth brushing kit with simple visuals, comfort ideas and communication support.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-28T20:00:00,"tooth brushing printable, sensory support, routine for kids"
Back to school calm bundle,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/13-back_to_school_calm_bundle.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"A bundle of calm printable supports for school transitions, routines and hard moments.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-29T13:00:00,"back to school bundle, school routine printable, calm parenting"
Daily school routine bundle,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/14-daily_school_routine_bundle.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,"Support mornings, school drop-off and everyday school routines with one calm bundle.",REPLACE_WITH_LIVE_ETSY_URL,2026-08-29T20:00:00,"school routine bundle, school mornings, drop off support"
Starting school bundle for kids,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/15-next_comes_calm_school_bundle.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,A calm printable bundle to help kids prepare for starting school with more confidence.,REPLACE_WITH_LIVE_ETSY_URL,2026-08-30T13:00:00,"starting school bundle, first day of school, school prep"
School bus routine bundle,https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/16-school_bus_routine_bundle.jpg,REPLACE_WITH_EXISTING_SCHOOL_BOARD,,Help bus rides and school transitions feel easier with calm printable supports.,REPLACE_WITH_LIVE_ETSY_URL,2026-08-30T20:00:00,"school bus bundle, school transition printable, calm support"
